M;0002;013;01;114;1.90;0.00;2.32;0.00;-0.85;0.00;27.00;29.40;24.00;21.07;-9999.00;71.94;1400;;;;;;33.40;30.80;22.88;23.94;0.00;100.00;33.00;80.00;24.81;-1000.00;-65.007;-56.933;32;3327.83;75.07;5
M;0002;014;01;116;1.91;0.00;2.33;0.00;-1.67;0.00;27.10;29.40;24.10;21.07;-9999.00;71.79;1400;;;;;;33.40;30.80;22.88;23.94;0.00;100.00;34.00;80.00;24.85;-1000.00;-77.997;-56.973;32;3312.90;75.09;5
M;0002;015;01;117;1.82;0.00;2.21;0.00;-0.08;0.00;27.10;29.40;24.10;21.06;-9999.00;71.62;1400;;;;;;33.40;30.80;22.84;23.94;0.00;100.00;34.00;80.00;24.95;-1000.00;-90.995;-56.957;32;3297.06;75.07;5
M;0002;016;01;118;1.78;0.00;2.17;0.00;0.12;0.00;27.20;29.40;24.10;21.06;-9999.00;71.53;1399;;;;;;33.50;30.80;22.78;23.94;0.00;100.00;36.00;80.00;24.99;-1000.00;-104.009;-56.933;32;3371.27;75.07;5
P;0002;;;118;;;;;;;27.20;29.40;24.10;21.06;-9999.00;71.53;1399;;;;;;33.50;30.80;22.78;23.94;0.00;100.00;36.00;80.00;24.99;-1000.00;-104.009;-56.933;32;;;;1.957;0.813;0.801;0.828;0.812
P;0003;;;127;;;;;;;27.70;29.40;24.30;21.05;-9999.00;70.68;1400;;;;;;33.50;31.00;22.78;23.94;0.00;87.50;37.50;80.00;25.36;-1000.00;-125.993;-69.462;32;;;;1.958;0.813;0.802;0.828;0.812
P;0003;;;127;;;;;;;27.70;29.40;24.30;21.05;-9999.00;70.68;1400;;;;;;33.50;31.00;22.78;23.94;0.00;87.50;37.50;80.00;25.36;-1000.00;-125.993;-69.462;0;;;;1.958;0.813;0.802;0.828;0.812
R;0003;;01;158;103.68;0.00;;;;;29.10;29.70;25.00;21.00;-9999.00;67.33;1400;3376.34;;;;;33.90;31.50;22.84;23.94;0.00;47.00;28.50;80.00;26.60;-1000.00;-125.993;-69.446;30;3376.34;75.06;5
M;0003;001;01;159;1.74;0.00;2.11;0.00;-1.11;0.00;29.20;29.70;25.00;21.00;-9999.00;67.19;1400;;;;;;33.90;31.50;22.91;23.94;0.00;45.00;27.50;80.00;26.66;-1000.00;-104.033;-69.940;32;3422.16;75.08;5
M;0003;002;01;161;1.81;0.00;2.20;0.00;-0.99;0.00;29.20;29.70;25.00;21.00;-9999.00;67.05;1400;;;;;;33.90;31.50;22.84;23.94;0.00;45.00;27.50;80.00;26.70;-1000.00;-91.019;-69.948;32;3392.35;75.11;5
M;0003;003;01;162;1.90;0.00;2.32;0.00;-1.59;0.00;29.20;29.70;25.00;21.00;-9999.00;66.98;1399;;;;;;33.90;31.50;22.84;23.94;0.00;43.00;27.50;80.00;26.73;-1000.00;-78.021;-69.940;32;3368.59;75.07;5
M;0003;004;01;163;2.10;0.00;2.56;0.00;-0.66;0.00;29.30;29.70;25.10;21.00;-9999.00;66.95;1398;;;;;;34.00;31.60;22.84;23.94;0.00;42.00;27.50;80.00;26.76;-1000.00;-65.031;-69.940;32;3351.99;75.06;5
M;0003;005;01;164;1.71;0.00;2.08;0.00;-1.61;0.00;29.30;29.70;25.10;21.00;-9999.00;66.84;1398;;;;;;34.00;31.60;22.84;23.94;0.00;42.00;27.50;80.00;26.83;-1000.00;-52.024;-69.940;32;3378.10;75.08;5
M;0003;006;01;165;1.79;0.00;2.18;0.00;-0.76;0.00;29.30;29.70;25.10;21.00;-9999.00;66.74;1399;;;;;;34.00;31.60;22.84;23.94;0.00;40.00;27.50;80.00;26.86;-1000.00;-39.026;-69.948;32;3395.31;75.09;5
M;0003;007;01;167;2.07;0.00;2.52;0.00;-0.59;0.00;29.30;29.70;25.10;21.00;-9999.00;66.64;1399;;;;;;34.00;31.60;22.84;23.94;0.00;40.00;27.50;80.00;26.89;-1000.00;-26.028;-69.948;32;3408.77;75.09;5
M;0003;008;01;168;1.63;0.00;1.99;0.00;-0.36;0.00;29.40;29.70;25.20;21.00;-9999.00;66.57;1399;;;;;;34.00;31.60;22.84;23.94;0.00;39.00;28.50;80.00;26.92;-1000.00;-13.030;-69.948;32;3356.51;75.11;5
M;0003;009;01;169;1.79;0.00;2.18;0.00;-0.84;0.00;29.40;29.70;25.20;20.99;-9999.00;66.50;1399;;;;;;34.10;31.70;22.84;23.94;0.00;37.50;29.00;80.00;26.96;-1000.00;-13.030;-56.941;32;3296.58;75.13;5
M;0003;010;01;170;1.73;0.00;2.11;0.00;-0.56;0.00;29.40;29.70;25.20;20.99;-9999.00;66.40;1399;;;;;;34.10;31.70;22.88;23.94;0.00;37.50;29.00;80.00;27.03;-1000.00;-26.004;-56.933;32;3295.12;75.12;5
M;0003;011;01;172;1.78;0.00;2.17;0.00;-0.48;0.00;29.50;29.70;25.20;20.99;-9999.00;66.35;1399;;;;;;34.10;31.70;22.88;23.94;0.00;36.50;29.50;80.00;27.06;-1000.00;-39.002;-56.933;32;3285.16;75.10;5
M;0003;012;01;173;1.56;0.00;1.90;0.00;-0.62;0.00;29.50;29.70;25.30;20.99;-9999.00;66.31;1400;;;;;;34.10;31.70;22.78;23.94;0.00;35.00;30.00;80.00;27.08;-1000.00;-52.000;-56.941;32;3324.55;75.07;5
M;0003;013;01;174;1.94;0.00;2.37;0.00;-1.31;0.00;29.50;29.70;25.30;20.99;-9999.00;66.28;1400;;;;;;34.10;31.70;22.84;23.94;0.00;35.00;30.00;80.00;27.11;-1000.00;-65.007;-56.933;32;3314.47;75.09;5
M;0003;014;01;175;1.71;0.00;2.08;0.00;-0.41;0.00;29.50;29.70;25.30;20.99;-9999.00;66.23;1400;;;;;;34.20;31.80;22.84;23.94;0.00;33.50;30.00;80.00;27.14;-1000.00;-77.997;-56.933;32;3334.04;75.10;5
M;0003;015;01;177;2.05;0.00;2.50;0.00;-1.31;0.00;29.50;29.70;25.30;20.99;-9999.00;66.16;1400;;;;;;34.20;31.80;22.81;23.94;0.00;33.50;30.00;80.00;27.19;-1000.00;-90.995;-56.933;32;3431.01;75.11;5
